Spectral Radiance calculated by Planck's Radiation Law and its 
low frequency approximation at a temperature of T = 2.73 K.

NB: Spectral Radiance and LF Approx. have units W.m^-2.Hz^-1.sr^-1
Frequency (GHz)      Spectral Radiance    Low Freq. Approx.    
6.25251e+00          3.10214e-20          3.27905e-20          
6.27255e+00          3.12149e-20          3.30010e-20          
6.29259e+00          3.14091e-20          3.32122e-20          
6.31263e+00          3.16038e-20          3.34241e-20          
6.33267e+00          3.17991e-20          3.36366e-20          
6.35271e+00          3.19949e-20          3.38498e-20          
6.37275e+00          3.21913e-20          3.40637e-20          
6.39279e+00          3.23883e-20          3.42783e-20          
6.41283e+00          3.25858e-20          3.44936e-20          
6.43287e+00          3.27839e-20          3.47095e-20          
6.45291e+00          3.29825e-20          3.49261e-20          
6.47295e+00          3.31818e-20          3.51434e-20          
6.49299e+00          3.33816e-20          3.53613e-20          
6.51303e+00          3.35819e-20          3.55799e-20          
6.53307e+00          3.37828e-20          3.57992e-20          
6.55311e+00          3.39843e-20          3.60192e-20          
6.57315e+00          3.41863e-20          3.62398e-20          
6.59319e+00          3.43889e-20          3.64611e-20          
6.61323e+00          3.45921e-20          3.66831e-20          
6.63327e+00          3.47958e-20          3.69058e-20          
6.65331e+00          3.50001e-20          3.71291e-20          
6.67335e+00          3.52049e-20          3.73531e-20          
6.69339e+00          3.54103e-20          3.75778e-20          
6.71343e+00          3.56163e-20          3.78031e-20          
6.73347e+00          3.58228e-20          3.80292e-20          
6.75351e+00          3.60299e-20          3.82559e-20          
6.77355e+00          3.62375e-20          3.84832e-20          
6.79359e+00          3.64457e-20          3.87113e-20          
6.81363e+00          3.66544e-20          3.89400e-20          
6.83367e+00          3.68637e-20          3.91694e-20          
6.85371e+00          3.70736e-20          3.93995e-20          
6.87375e+00          3.72840e-20          3.96302e-20          
6.89379e+00          3.74950e-20          3.98616e-20          
6.91383e+00          3.77065e-20          4.00937e-20          
6.93387e+00          3.79186e-20          4.03265e-20          
6.95391e+00          3.81313e-20          4.05599e-20          
6.97395e+00          3.83445e-20          4.07940e-20          
6.99399e+00          3.85582e-20          4.10288e-20          
7.01403e+00          3.87725e-20          4.12643e-20          
7.03407e+00          3.89874e-20          4.15004e-20          
7.05411e+00          3.92028e-20          4.17372e-20          
7.07415e+00          3.94188e-20          4.19747e-20          
7.09419e+00          3.96353e-20          4.22129e-20          
7.11423e+00          3.98524e-20          4.24517e-20          
7.13427e+00          4.00700e-20          4.26912e-20          
7.15431e+00          4.02882e-20          4.29314e-20          
7.17435e+00          4.05069e-20          4.31722e-20          
7.19439e+00          4.07262e-20          4.34137e-20          
7.21443e+00          4.09461e-20          4.36559e-20          
7.23447e+00          4.11665e-20          4.38988e-20          
7.25451e+00          4.13874e-20          4.41423e-20          
7.27455e+00          4.16089e-20          4.43866e-20          
7.29459e+00          4.18309e-20          4.46314e-20          
7.31463e+00          4.20535e-20          4.48770e-20          
7.33467e+00          4.22767e-20          4.51233e-20          
7.35471e+00          4.25003e-20          4.53702e-20          
7.37475e+00          4.27246e-20          4.56177e-20          
7.39479e+00          4.29494e-20          4.58660e-20          
7.41483e+00          4.31747e-20          4.61149e-20          
7.43487e+00          4.34006e-20          4.63645e-20          
7.45491e+00          4.36270e-20          4.66148e-20          
7.47495e+00          4.38540e-20          4.68658e-20          
7.49499e+00          4.40815e-20          4.71174e-20          
7.51503e+00          4.43096e-20          4.73697e-20          
7.53507e+00          4.45382e-20          4.76227e-20          
7.55511e+00          4.47673e-20          4.78763e-20          
7.57515e+00          4.49970e-20          4.81307e-20          
7.59519e+00          4.52273e-20          4.83857e-20          
7.61523e+00          4.54581e-20          4.86413e-20          
7.63527e+00          4.56894e-20          4.88977e-20          
7.65531e+00          4.59213e-20          4.91547e-20          
7.67535e+00          4.61537e-20          4.94124e-20          
7.69539e+00          4.63867e-20          4.96707e-20          
7.71543e+00          4.66202e-20          4.99298e-20          
7.73547e+00          4.68543e-20          5.01895e-20          
7.75551e+00          4.70889e-20          5.04499e-20          
7.77555e+00          4.73240e-20          5.07109e-20          
7.79559e+00          4.75597e-20          5.09727e-20          
7.81563e+00          4.77959e-20          5.12351e-20          
7.83567e+00          4.80327e-20          5.14982e-20          
7.85571e+00          4.82700e-20          5.17619e-20          
7.87575e+00          4.85078e-20          5.20263e-20          
7.89579e+00          4.87462e-20          5.22914e-20          
7.91583e+00          4.89852e-20          5.25572e-20          
7.93587e+00          4.92246e-20          5.28237e-20          
7.95591e+00          4.94646e-20          5.30908e-20          
7.97595e+00          4.97052e-20          5.33586e-20          
7.99599e+00          4.99463e-20          5.36271e-20          
8.01603e+00          5.01879e-20          5.38962e-20          
8.03607e+00          5.04301e-20          5.41660e-20          
8.05611e+00          5.06727e-20          5.44365e-20          
8.07615e+00          5.09160e-20          5.47077e-20          
8.09619e+00          5.11598e-20          5.49795e-20          
8.11623e+00          5.14041e-20          5.52520e-20          
8.13627e+00          5.16489e-20          5.55252e-20          
8.15631e+00          5.18943e-20          5.57991e-20          
8.17635e+00          5.21402e-20          5.60736e-20          
8.19639e+00          5.23867e-20          5.63488e-20          
8.21643e+00          5.26337e-20          5.66247e-20          
8.23647e+00          5.28812e-20          5.69013e-20          
8.25651e+00          5.31292e-20          5.71785e-20          
8.27655e+00          5.33778e-20          5.74564e-20          
8.29659e+00          5.36269e-20          5.77350e-20          
8.31663e+00          5.38766e-20          5.80142e-20          
8.33667e+00          5.41268e-20          5.82941e-20          
8.35671e+00          5.43775e-20          5.85747e-20          
8.37675e+00          5.46288e-20          5.88560e-20          
8.39679e+00          5.48806e-20          5.91379e-20          
8.41683e+00          5.51329e-20          5.94206e-20          
8.43687e+00          5.53857e-20          5.97039e-20          
8.45691e+00          5.56391e-20          5.99878e-20          
8.47695e+00          5.58930e-20          6.02725e-20          
8.49699e+00          5.61475e-20          6.05578e-20          
8.51703e+00          5.64025e-20          6.08438e-20          
8.53707e+00          5.66580e-20          6.11304e-20          
8.55711e+00          5.69140e-20          6.14178e-20          
8.57715e+00          5.71706e-20          6.17058e-20          
8.59719e+00          5.74277e-20          6.19944e-20          
8.61723e+00          5.76853e-20          6.22838e-20          
8.63727e+00          5.79434e-20          6.25738e-20          
8.65731e+00          5.82021e-20          6.28645e-20          
8.67735e+00          5.84613e-20          6.31559e-20          
8.69739e+00          5.87210e-20          6.34480e-20          
8.71743e+00          5.89813e-20          6.37407e-20          
8.73747e+00          5.92421e-20          6.40341e-20          
8.75752e+00          5.95034e-20          6.43282e-20          
8.77756e+00          5.97652e-20          6.46229e-20          
8.79760e+00          6.00276e-20          6.49183e-20          
8.81764e+00          6.02905e-20          6.52144e-20          
8.83768e+00          6.05539e-20          6.55112e-20          
8.85772e+00          6.08179e-20          6.58086e-20          
8.87776e+00          6.10823e-20          6.61067e-20          
8.89780e+00          6.13473e-20          6.64055e-20          
8.91784e+00          6.16128e-20          6.67050e-20          
8.93788e+00          6.18789e-20          6.70051e-20          
8.95792e+00          6.21454e-20          6.73059e-20          
8.97796e+00          6.24125e-20          6.76074e-20          
8.99800e+00          6.26801e-20          6.79096e-20          
9.01804e+00          6.29482e-20          6.82124e-20          
9.03808e+00          6.32169e-20          6.85159e-20          
9.05812e+00          6.34861e-20          6.88201e-20          
9.07816e+00          6.37558e-20          6.91249e-20          
9.09820e+00          6.40260e-20          6.94304e-20          
9.11824e+00          6.42967e-20          6.97366e-20          
9.13828e+00          6.45680e-20          7.00435e-20          
9.15832e+00          6.48397e-20          7.03511e-20          
9.17836e+00          6.51120e-20          7.06593e-20          
9.19840e+00          6.53848e-20          7.09682e-20          
9.21844e+00          6.56582e-20          7.12777e-20          
9.23848e+00          6.59320e-20          7.15880e-20          
9.25852e+00          6.62064e-20          7.18989e-20          
9.27856e+00          6.64813e-20          7.22105e-20          
9.29860e+00          6.67567e-20          7.25227e-20          
9.31864e+00          6.70326e-20          7.28357e-20          
9.33868e+00          6.73091e-20          7.31493e-20          
9.35872e+00          6.75860e-20          7.34636e-20          
9.37876e+00          6.78635e-20          7.37785e-20          
9.39880e+00          6.81415e-20          7.40941e-20          
9.41884e+00          6.84200e-20          7.44105e-20          
9.43888e+00          6.86990e-20          7.47274e-20          
9.45892e+00          6.89785e-20          7.50451e-20          
9.47896e+00          6.92586e-20          7.53634e-20          
9.49900e+00          6.95392e-20          7.56824e-20          
9.51904e+00          6.98202e-20          7.60021e-20          
9.53908e+00          7.01018e-20          7.63224e-20          
9.55912e+00          7.03839e-20          7.66434e-20          
9.57916e+00          7.06666e-20          7.69651e-20          
9.59920e+00          7.09497e-20          7.72875e-20          
9.61924e+00          7.12334e-20          7.76105e-20          
9.63928e+00          7.15175e-20          7.79343e-20          
9.65932e+00          7.18022e-20          7.82586e-20          
9.67936e+00          7.20874e-20          7.85837e-20          
9.69940e+00          7.23731e-20          7.89094e-20          
9.71944e+00          7.26593e-20          7.92358e-20          
9.73948e+00          7.29460e-20          7.95629e-20          
9.75952e+00          7.32332e-20          7.98907e-20          
9.77956e+00          7.35210e-20          8.02191e-20          
9.79960e+00          7.38092e-20          8.05482e-20          
9.81964e+00          7.40980e-20          8.08780e-20          
9.83968e+00          7.43872e-20          8.12084e-20          
9.85972e+00          7.46770e-20          8.15396e-20          
9.87976e+00          7.49673e-20          8.18714e-20          
9.89980e+00          7.52581e-20          8.22038e-20          
9.91984e+00          7.55494e-20          8.25370e-20          
9.93988e+00          7.58412e-20          8.28708e-20          
9.95992e+00          7.61335e-20          8.32053e-20          
9.97996e+00          7.64263e-20          8.35405e-20          
1.00000e+01          7.67197e-20          8.38763e-20          
